Word,Synonyms,Average score,StD
have,"hold (0.14285714285714285), possess (0.15384615384615385), gain (0.2), bear (0.5714285714285714), fill (0.18181818181818182), ",0.24999000999001,0.16198162879110795
help,"aid (0.2857142857142857), assist (1.0), support (0.8571428571428571), back (0.15384615384615385), serve (0.5263157894736842), succor (0.9333333333333333), benefit (0.25), ",0.5723360599300449,0.3289886304054079
hide,"cover (0.25), mask (0.25), cloak (0.25), camouflage (0.23529411764705882), screen (0.25), shroud (0.25), veil (0.2222222222222222), ",0.2439309056956116,0.010212251565932477
hurry,"rush (0.2222222222222222), run (0.2), speed (0.26666666666666666), race (0.25), urge (0.2857142857142857), bustle (0.2), ",0.23743386243386244,0.032602264850120584
hurt,"damage (0.25), harm (1.0), wound (0.9473684210526315), distress (0.5), pain (0.23529411764705882), ",0.586532507739938,0.3302327463558275
idea,"thought (1.0), concept (0.9230769230769231), conception (0.9230769230769231), notion (0.9230769230769231), understanding (0.5714285714285714), opinion (0.7692307692307693), plan (0.9230769230769231), view (0.6153846153846154), belief (0.8333333333333334), ",0.8312983312983312,0.14148460496028134
interesting,"fascinating (0.25), engaging (0.2857142857142857), keen (0.2857142857142857), animated (0.5714285714285714), spirited (0.2), inviting (0.6666666666666666), intriguing (0.25), ",0.3585034013605442,0.1688480048963036
keep,"hold (0.25), preserve (0.26666666666666666), support (0.2857142857142857), ",0.26746031746031745,0.014591092310198594
kill,"murder (0.9090909090909091), cancel (0.2222222222222222), ",0.5656565656565656,0.3434343434343434
little,"small (0.16666666666666666), diminutive (0.3076923076923077), shrimp (0.16666666666666666), runt (0.16666666666666666), miniature (0.125), dinky (0.11764705882352941), limited (0.13333333333333333), ",0.1690960999784529,0.05987732766545667
look,"gaze (0.2222222222222222), see (0.125), glance (0.23529411764705882), watch (0.1111111111111111), survey (0.23529411764705882), study (0.23529411764705882), seek (0.2857142857142857), peek (0.23529411764705882), peep (0.26666666666666666), glimpse (0.23529411764705882), stare (0.23529411764705882), gape (0.2857142857142857), leer (0.2857142857142857), view (0.2857142857142857), witness (0.15384615384615385), spy (0.11764705882352941), sight (0.25), notice (0.2857142857142857), peer (0.16666666666666666), eye (0.13333333333333333), gawk (0.15384615384615385), ",0.21622264290331522,0.06025521475188665
love,"like (0.23529411764705882), esteem (0.5333333333333333), fancy (0.26666666666666666), treasure (0.26666666666666666), worship (0.2857142857142857), savor (0.23529411764705882), ",0.303828197945845,0.10420854101623152
make,"form (0.23529411764705882), construct (0.8235294117647058), design (0.3157894736842105), manufacture (0.3157894736842105), produce (0.125), build (0.25), do (0.3333333333333333), effect (0.13333333333333333), gain (0.26666666666666666), get (0.2608695652173913), ",0.30596053753309105,0.18522133300504628
